filename,trigger,newtime_sec,samps_to_add
sub-01_ses-1_task-alice_acq-1.bdf,1,0.113525390625,15
sub-01_ses-1_task-alice_acq-1.bdf,2,0.11199951171875,14
sub-01_ses-1_task-alice_acq-1.bdf,3,0.10809326171875,14
sub-01_ses-1_task-alice_acq-1.bdf,4,0.11083984375,14
sub-01_ses-1_task-alice_acq-1.bdf,5,0.11016845703125,14
sub-01_ses-1_task-alice_acq-1.bdf,6,0.1082763671875,14
sub-01_ses-1_task-alice_acq-1.bdf,7,0.1064453125,14
sub-01_ses-1_task-alice_acq-1.bdf,8,0.11090087890625,14
sub-01_ses-1_task-alice_acq-1.bdf,9,0.111328125,14
sub-01_ses-1_task-alice_acq-1.bdf,10,0.1038818359375,13
sub-01_ses-1_task-alice_acq-1.bdf,11,0.09857177734375,13
sub-01_ses-1_task-alice_acq-1.bdf,12,0.10687255859375,14
sub-01_ses-1_task-alice_acq-1.bdf,13,0.1083984375,14
sub-01_ses-1_task-alice_acq-1.bdf,14,0.10687255859375,14
sub-01_ses-1_task-alice_acq-1.bdf,15,0.113037109375,14
sub-01_ses-1_task-mix_acq-2.bdf,1,0.10662841796875,14
sub-01_ses-1_task-mix_acq-2.bdf,2,0.10711669921875,14
sub-01_ses-1_task-mix_acq-2.bdf,3,0.1131591796875,14
sub-01_ses-1_task-mix_acq-2.bdf,4,0.10137939453125,13
sub-01_ses-1_task-mix_acq-2.bdf,5,0.1121826171875,14
sub-01_ses-1_task-mix_acq-2.bdf,6,0.1099853515625,14
sub-01_ses-1_task-mix_acq-2.bdf,7,0.1121826171875,14
sub-01_ses-1_task-mix_acq-2.bdf,8,0.10595703125,14
sub-01_ses-1_task-mix_acq-2.bdf,9,0.10400390625,13
sub-01_ses-1_task-mix_acq-2.bdf,10,0.0968017578125,12
sub-01_ses-1_task-mix_acq-2.bdf,11,0.1136474609375,15
sub-01_ses-1_task-mix_acq-2.bdf,12,0.11248779296875,14
sub-01_ses-1_task-mix_acq-2.bdf,13,0.11614990234375,15
sub-01_ses-1_task-mix_acq-2.bdf,14,0.1058349609375,14
sub-01_ses-1_task-mix_acq-2.bdf,15,0.1064453125,14
sub-02_ses-1_task-alice_acq-2.bdf,1,0.09979248046875,13
sub-02_ses-1_task-alice_acq-2.bdf,2,0.1082763671875,14
sub-02_ses-1_task-alice_acq-2.bdf,3,0.110107421875,14
sub-02_ses-1_task-alice_acq-2.bdf,4,0.108154296875,14
sub-02_ses-1_task-alice_acq-2.bdf,5,0.1055908203125,14
sub-02_ses-1_task-alice_acq-2.bdf,6,0.10601806640625,14
sub-02_ses-1_task-alice_acq-2.bdf,7,0.104736328125,13
sub-02_ses-1_task-alice_acq-2.bdf,8,0.1058349609375,14
sub-02_ses-1_task-alice_acq-2.bdf,9,0.1009521484375,13
sub-02_ses-1_task-alice_acq-2.bdf,10,0.10052490234375,13
sub-02_ses-1_task-alice_acq-2.bdf,11,0.11749267578125,15
sub-02_ses-1_task-alice_acq-2.bdf,12,0.11004638671875,14
sub-02_ses-1_task-alice_acq-2.bdf,13,0.11175537109375,14
sub-02_ses-1_task-alice_acq-2.bdf,14,0.10980224609375,14
sub-02_ses-1_task-alice_acq-2.bdf,15,0.10906982421875,14
sub-02_ses-1_task-mix_acq-1.bdf,1,0.10711669921875,14
sub-02_ses-1_task-mix_acq-1.bdf,2,0.11126708984375,14
sub-02_ses-1_task-mix_acq-1.bdf,3,0.10992431640625,14
sub-02_ses-1_task-mix_acq-1.bdf,4,0.10906982421875,14
sub-02_ses-1_task-mix_acq-1.bdf,5,0.1077880859375,14
sub-02_ses-1_task-mix_acq-1.bdf,6,0.1080322265625,14
sub-02_ses-1_task-mix_acq-1.bdf,7,0.10546875,14
sub-02_ses-1_task-mix_acq-1.bdf,8,0.10565185546875,14
sub-02_ses-1_task-mix_acq-1.bdf,9,0.11236572265625,14
sub-02_ses-1_task-mix_acq-1.bdf,10,0.11309814453125,14
sub-02_ses-1_task-mix_acq-1.bdf,11,0.10650634765625,14
sub-02_ses-1_task-mix_acq-1.bdf,12,0.10406494140625,13
sub-02_ses-1_task-mix_acq-1.bdf,13,0.1112060546875,14
sub-02_ses-1_task-mix_acq-1.bdf,14,0.101806640625,13
sub-02_ses-1_task-mix_acq-1.bdf,15,0.10546875,14
sub-03_ses-1_task-alice_acq-1.bdf,1,0.10516357421875,13
sub-03_ses-1_task-alice_acq-1.bdf,2,0.106201171875,14
sub-03_ses-1_task-alice_acq-1.bdf,3,0.10687255859375,14
sub-03_ses-1_task-alice_acq-1.bdf,4,0.108642578125,14
sub-03_ses-1_task-alice_acq-1.bdf,5,0.09869384765625,13
sub-03_ses-1_task-alice_acq-1.bdf,6,0.10308837890625,13
sub-03_ses-1_task-alice_acq-1.bdf,7,0.1033935546875,13
sub-03_ses-1_task-alice_acq-1.bdf,8,0.1016845703125,13
sub-03_ses-1_task-alice_acq-1.bdf,9,0.104736328125,13
sub-03_ses-1_task-alice_acq-1.bdf,10,0.10723876953125,14
sub-03_ses-1_task-alice_acq-1.bdf,11,0.1129150390625,14
sub-03_ses-1_task-alice_acq-1.bdf,12,0.107177734375,14
sub-03_ses-1_task-alice_acq-1.bdf,13,0.1044921875,13
sub-03_ses-1_task-alice_acq-1.bdf,14,0.103515625,13
sub-03_ses-1_task-alice_acq-1.bdf,15,0.10052490234375,13
sub-03_ses-1_task-mix_acq-2.bdf,1,0.11346435546875,15
sub-03_ses-1_task-mix_acq-2.bdf,2,0.10711669921875,14
sub-03_ses-1_task-mix_acq-2.bdf,3,0.1082763671875,14
sub-03_ses-1_task-mix_acq-2.bdf,4,0.11083984375,14
sub-03_ses-1_task-mix_acq-2.bdf,5,0.10272216796875,13
sub-03_ses-1_task-mix_acq-2.bdf,6,0.10589599609375,14
sub-03_ses-1_task-mix_acq-2.bdf,7,0.10906982421875,14
sub-03_ses-1_task-mix_acq-2.bdf,8,0.10443115234375,13
sub-03_ses-1_task-mix_acq-2.bdf,9,0.1046142578125,13
sub-03_ses-1_task-mix_acq-2.bdf,10,0.11114501953125,14
sub-03_ses-1_task-mix_acq-2.bdf,11,0.10858154296875,14
sub-03_ses-1_task-mix_acq-2.bdf,12,0.1109619140625,14
sub-03_ses-1_task-mix_acq-2.bdf,13,0.10980224609375,14
sub-03_ses-1_task-mix_acq-2.bdf,14,0.1077880859375,14
sub-03_ses-1_task-mix_acq-2.bdf,15,0.1051025390625,13
sub-04_ses-1_task-alice_acq-2.bdf,1,0.11431884765625,15
sub-04_ses-1_task-alice_acq-2.bdf,2,0.10943603515625,14
sub-04_ses-1_task-alice_acq-2.bdf,3,0.10797119140625,14
sub-04_ses-1_task-alice_acq-2.bdf,4,0.111083984375,14
sub-04_ses-1_task-alice_acq-2.bdf,5,0.11309814453125,14
sub-04_ses-1_task-alice_acq-2.bdf,6,0.10595703125,14
sub-04_ses-1_task-alice_acq-2.bdf,7,0.10321044921875,13
sub-04_ses-1_task-alice_acq-2.bdf,8,0.098876953125,13
sub-04_ses-1_task-alice_acq-2.bdf,9,0.10345458984375,13
sub-04_ses-1_task-alice_acq-2.bdf,10,0.10614013671875,14
sub-04_ses-1_task-alice_acq-2.bdf,11,0.1048583984375,13
sub-04_ses-1_task-alice_acq-2.bdf,12,0.10833740234375,14
sub-04_ses-1_task-alice_acq-2.bdf,13,0.104736328125,13
sub-04_ses-1_task-alice_acq-2.bdf,14,0.1070556640625,14
sub-04_ses-1_task-alice_acq-2.bdf,15,0.10858154296875,14
sub-04_ses-1_task-mix_acq-1.bdf,1,0.1119384765625,14
sub-04_ses-1_task-mix_acq-1.bdf,2,0.11309814453125,14
sub-04_ses-1_task-mix_acq-1.bdf,3,0.10797119140625,14
sub-04_ses-1_task-mix_acq-1.bdf,4,0.1055908203125,14
sub-04_ses-1_task-mix_acq-1.bdf,5,0.10699462890625,14
sub-04_ses-1_task-mix_acq-1.bdf,6,0.10845947265625,14
sub-04_ses-1_task-mix_acq-1.bdf,7,0.10797119140625,14
sub-04_ses-1_task-mix_acq-1.bdf,8,0.10260009765625,13
sub-04_ses-1_task-mix_acq-1.bdf,9,0.1070556640625,14
sub-04_ses-1_task-mix_acq-1.bdf,10,0.109619140625,14
sub-04_ses-1_task-mix_acq-1.bdf,11,0.11639404296875,15
sub-04_ses-1_task-mix_acq-1.bdf,12,0.10791015625,14
sub-04_ses-1_task-mix_acq-1.bdf,13,0.11053466796875,14
sub-04_ses-1_task-mix_acq-1.bdf,14,0.10687255859375,14
sub-04_ses-1_task-mix_acq-1.bdf,15,0.11083984375,14
sub-05_ses-1_task-alice_acq-1.bdf,1,0.1142578125,15
sub-05_ses-1_task-alice_acq-1.bdf,2,0.10882568359375,14
sub-05_ses-1_task-alice_acq-1.bdf,3,0.10675048828125,14
sub-05_ses-1_task-alice_acq-1.bdf,4,0.10675048828125,14
sub-05_ses-1_task-alice_acq-1.bdf,5,0.10833740234375,14
sub-05_ses-1_task-alice_acq-1.bdf,6,0.10772705078125,14
sub-05_ses-1_task-alice_acq-1.bdf,7,0.11083984375,14
sub-05_ses-1_task-alice_acq-1.bdf,8,0.111328125,14
sub-05_ses-1_task-alice_acq-1.bdf,9,0.11083984375,14
sub-05_ses-1_task-alice_acq-1.bdf,10,0.1058349609375,14
sub-05_ses-1_task-alice_acq-1.bdf,11,0.10711669921875,14
sub-05_ses-1_task-alice_acq-1.bdf,12,0.11102294921875,14
sub-05_ses-1_task-alice_acq-1.bdf,13,0.11279296875,14
sub-05_ses-1_task-alice_acq-1.bdf,14,0.1097412109375,14
sub-05_ses-1_task-alice_acq-1.bdf,15,0.1085205078125,14
sub-05_ses-1_task-mix_acq-2.bdf,1,0.1116943359375,14
sub-05_ses-1_task-mix_acq-2.bdf,2,0.1094970703125,14
sub-05_ses-1_task-mix_acq-2.bdf,3,0.11016845703125,14
sub-05_ses-1_task-mix_acq-2.bdf,4,0.105712890625,14
sub-05_ses-1_task-mix_acq-2.bdf,5,0.1092529296875,14
sub-05_ses-1_task-mix_acq-2.bdf,6,0.1048583984375,13
sub-05_ses-1_task-mix_acq-2.bdf,7,0.1053466796875,13
sub-05_ses-1_task-mix_acq-2.bdf,8,0.1070556640625,14
sub-05_ses-1_task-mix_acq-2.bdf,9,0.10009765625,13
sub-05_ses-1_task-mix_acq-2.bdf,10,0.1064453125,14
sub-05_ses-1_task-mix_acq-2.bdf,11,0.11041259765625,14
sub-05_ses-1_task-mix_acq-2.bdf,12,0.10076904296875,13
sub-05_ses-1_task-mix_acq-2.bdf,13,0.10858154296875,14
sub-05_ses-1_task-mix_acq-2.bdf,14,0.1109619140625,14
sub-05_ses-1_task-mix_acq-2.bdf,15,0.11212158203125,14
sub-06_ses-1_task-alice_acq-2.bdf,1,0.111572265625,14
sub-06_ses-1_task-alice_acq-2.bdf,2,0.1148681640625,15
sub-06_ses-1_task-alice_acq-2.bdf,3,0.11138916015625,14
sub-06_ses-1_task-alice_acq-2.bdf,4,0.107666015625,14
sub-06_ses-1_task-alice_acq-2.bdf,5,0.11224365234375,14
sub-06_ses-1_task-alice_acq-2.bdf,6,0.1033935546875,13
sub-06_ses-1_task-alice_acq-2.bdf,7,0.102294921875,13
sub-06_ses-1_task-alice_acq-2.bdf,8,0.1065673828125,14
sub-06_ses-1_task-alice_acq-2.bdf,9,0.09930419921875,13
sub-06_ses-1_task-alice_acq-2.bdf,10,0.11077880859375,14
sub-06_ses-1_task-alice_acq-2.bdf,11,0.1129150390625,14
sub-06_ses-1_task-alice_acq-2.bdf,12,0.11151123046875,14
sub-06_ses-1_task-alice_acq-2.bdf,13,0.10906982421875,14
sub-06_ses-1_task-alice_acq-2.bdf,14,0.10760498046875,14
sub-06_ses-1_task-alice_acq-2.bdf,15,0.1019287109375,13
sub-06_ses-1_task-mix_acq-1.bdf,1,0.11102294921875,14
sub-06_ses-1_task-mix_acq-1.bdf,2,0.1134033203125,15
sub-06_ses-1_task-mix_acq-1.bdf,3,0.11724853515625,15
sub-06_ses-1_task-mix_acq-1.bdf,4,0.10882568359375,14
sub-06_ses-1_task-mix_acq-1.bdf,5,0.1053466796875,13
sub-06_ses-1_task-mix_acq-1.bdf,6,0.11334228515625,15
sub-06_ses-1_task-mix_acq-1.bdf,7,0.10467529296875,13
sub-06_ses-1_task-mix_acq-1.bdf,8,0.10723876953125,14
sub-06_ses-1_task-mix_acq-1.bdf,9,0.10589599609375,14
sub-06_ses-1_task-mix_acq-1.bdf,10,0.10296630859375,13
sub-06_ses-1_task-mix_acq-1.bdf,11,0.1014404296875,13
sub-06_ses-1_task-mix_acq-1.bdf,12,0.1153564453125,15
sub-06_ses-1_task-mix_acq-1.bdf,13,0.1109619140625,14
sub-06_ses-1_task-mix_acq-1.bdf,14,0.1094970703125,14
sub-06_ses-1_task-mix_acq-1.bdf,15,0.108154296875,14
sub-07_ses-1_task-alice_acq-1.bdf,1,0.10638427734375,14
sub-07_ses-1_task-alice_acq-1.bdf,2,0.11077880859375,14
sub-07_ses-1_task-alice_acq-1.bdf,3,0.1124267578125,14
sub-07_ses-1_task-alice_acq-1.bdf,4,0.1121826171875,14
sub-07_ses-1_task-alice_acq-1.bdf,5,0.10870361328125,14
sub-07_ses-1_task-alice_acq-1.bdf,6,0.10650634765625,14
sub-07_ses-1_task-alice_acq-1.bdf,7,0.10906982421875,14
sub-07_ses-1_task-alice_acq-1.bdf,8,0.09814453125,13
sub-07_ses-1_task-alice_acq-1.bdf,9,0.10687255859375,14
sub-07_ses-1_task-alice_acq-1.bdf,10,0.10797119140625,14
sub-07_ses-1_task-alice_acq-1.bdf,11,0.11236572265625,14
sub-07_ses-1_task-alice_acq-1.bdf,12,0.11810302734375,15
sub-07_ses-1_task-alice_acq-1.bdf,13,0.11474609375,15
sub-07_ses-1_task-alice_acq-1.bdf,14,0.109130859375,14
sub-07_ses-1_task-alice_acq-1.bdf,15,0.1064453125,14
sub-07_ses-1_task-mix_acq-2.bdf,1,0.1129150390625,14
sub-07_ses-1_task-mix_acq-2.bdf,2,0.11083984375,14
sub-07_ses-1_task-mix_acq-2.bdf,3,0.11212158203125,14
sub-07_ses-1_task-mix_acq-2.bdf,4,0.10882568359375,14
sub-07_ses-1_task-mix_acq-2.bdf,5,0.10906982421875,14
sub-07_ses-1_task-mix_acq-2.bdf,6,0.110595703125,14
sub-07_ses-1_task-mix_acq-2.bdf,7,0.1072998046875,14
sub-07_ses-1_task-mix_acq-2.bdf,8,0.102783203125,13
sub-07_ses-1_task-mix_acq-2.bdf,9,0.10308837890625,13
sub-07_ses-1_task-mix_acq-2.bdf,10,0.11279296875,14
sub-07_ses-1_task-mix_acq-2.bdf,11,0.11151123046875,14
sub-07_ses-1_task-mix_acq-2.bdf,12,0.111572265625,14
sub-07_ses-1_task-mix_acq-2.bdf,13,0.11224365234375,14
sub-07_ses-1_task-mix_acq-2.bdf,14,0.111572265625,14
sub-07_ses-1_task-mix_acq-2.bdf,15,0.10784912109375,14
sub-08_ses-1_task-alice_acq-2.bdf,1,0.1038818359375,13
sub-08_ses-1_task-alice_acq-2.bdf,2,0.10833740234375,14
sub-08_ses-1_task-alice_acq-2.bdf,3,0.10113525390625,13
sub-08_ses-1_task-alice_acq-2.bdf,4,0.10699462890625,14
sub-08_ses-1_task-alice_acq-2.bdf,5,0.1102294921875,14
sub-08_ses-1_task-alice_acq-2.bdf,6,0.11712646484375,15
sub-08_ses-1_task-alice_acq-2.bdf,7,0.1119384765625,14
sub-08_ses-1_task-alice_acq-2.bdf,8,0.111572265625,14
sub-08_ses-1_task-alice_acq-2.bdf,9,0.1044921875,13
sub-08_ses-1_task-alice_acq-2.bdf,10,0.1080322265625,14
sub-08_ses-1_task-alice_acq-2.bdf,11,0.11029052734375,14
sub-08_ses-1_task-alice_acq-2.bdf,12,0.102783203125,13
sub-08_ses-1_task-alice_acq-2.bdf,13,0.10260009765625,13
sub-08_ses-1_task-alice_acq-2.bdf,14,0.09716796875,12
sub-08_ses-1_task-alice_acq-2.bdf,15,0.1158447265625,15
sub-08_ses-1_task-mix_acq-1.bdf,1,0.1097412109375,14
sub-08_ses-1_task-mix_acq-1.bdf,2,0.112060546875,14
sub-08_ses-1_task-mix_acq-1.bdf,3,0.11151123046875,14
sub-08_ses-1_task-mix_acq-1.bdf,4,0.11480712890625,15
sub-08_ses-1_task-mix_acq-1.bdf,5,0.10919189453125,14
sub-08_ses-1_task-mix_acq-1.bdf,6,0.10791015625,14
sub-08_ses-1_task-mix_acq-1.bdf,7,0.10394287109375,13
sub-08_ses-1_task-mix_acq-1.bdf,8,0.100341796875,13
sub-08_ses-1_task-mix_acq-1.bdf,9,0.1043701171875,13
sub-08_ses-1_task-mix_acq-1.bdf,10,0.09765625,13
sub-08_ses-1_task-mix_acq-1.bdf,11,0.114501953125,15
sub-08_ses-1_task-mix_acq-1.bdf,12,0.109375,14
sub-08_ses-1_task-mix_acq-1.bdf,13,0.11541748046875,15
sub-08_ses-1_task-mix_acq-1.bdf,14,0.11224365234375,14
sub-08_ses-1_task-mix_acq-1.bdf,15,0.11041259765625,14
sub-09_ses-1_task-alice_acq-1.bdf,1,0.1114501953125,14
sub-09_ses-1_task-alice_acq-1.bdf,2,0.112548828125,14
sub-09_ses-1_task-alice_acq-1.bdf,3,0.10736083984375,14
sub-09_ses-1_task-alice_acq-1.bdf,4,0.107177734375,14
sub-09_ses-1_task-alice_acq-1.bdf,5,0.1090087890625,14
sub-09_ses-1_task-alice_acq-1.bdf,6,0.11212158203125,14
sub-09_ses-1_task-alice_acq-1.bdf,7,0.10528564453125,13
sub-09_ses-1_task-alice_acq-1.bdf,8,0.10223388671875,13
sub-09_ses-1_task-alice_acq-1.bdf,9,0.10955810546875,14
sub-09_ses-1_task-alice_acq-1.bdf,10,0.10064697265625,13
sub-09_ses-1_task-alice_acq-1.bdf,11,0.09991455078125,13
sub-09_ses-1_task-alice_acq-1.bdf,12,0.11627197265625,15
sub-09_ses-1_task-alice_acq-1.bdf,13,0.1075439453125,14
sub-09_ses-1_task-alice_acq-1.bdf,14,0.11041259765625,14
sub-09_ses-1_task-alice_acq-1.bdf,15,0.1124267578125,14
sub-09_ses-1_task-mix_acq-2.bdf,1,0.11199951171875,14
sub-09_ses-1_task-mix_acq-2.bdf,2,0.10723876953125,14
sub-09_ses-1_task-mix_acq-2.bdf,3,0.1064453125,14
sub-09_ses-1_task-mix_acq-2.bdf,4,0.09967041015625,13
sub-09_ses-1_task-mix_acq-2.bdf,5,0.10687255859375,14
sub-09_ses-1_task-mix_acq-2.bdf,6,0.11383056640625,15
sub-09_ses-1_task-mix_acq-2.bdf,7,0.1092529296875,14
sub-09_ses-1_task-mix_acq-2.bdf,8,0.111572265625,14
sub-09_ses-1_task-mix_acq-2.bdf,9,0.10711669921875,14
sub-09_ses-1_task-mix_acq-2.bdf,10,0.1036376953125,13
sub-09_ses-1_task-mix_acq-2.bdf,11,0.113037109375,14
sub-09_ses-1_task-mix_acq-2.bdf,12,0.108642578125,14
sub-09_ses-1_task-mix_acq-2.bdf,13,0.10467529296875,13
sub-09_ses-1_task-mix_acq-2.bdf,14,0.107666015625,14
sub-09_ses-1_task-mix_acq-2.bdf,15,0.102294921875,13
